resp_id,survey_location,period,post,treated,did,monthly_transport_exp,ticket_expenditure,gender,female,age,profession,trip_purpose,mode,trip_dist_km,trip_time_min,trip_fare,trips_per_week,wait_min,access_dist_m,n_2w,n_4w,n_cycle,hh_motor_vehicles,income_imputed,vi_income,vi_no_vehicle,vi_elderly,brt_experience,employed,VI,VI_did
490,Chattarwind_Gate,1,1,1,1,21.65,5.0,Female,1,30,Homemaker,Religious,Shared E-Rickshaw,2.0,10,10,1,5,50,2,0,0,2,0,1.0,0,0,No,0,0.3333333333333333,0.3333333333333333
491,20. Sultanwind gate,0,0,0,0,259.8,0.0,Female,1,30,Homemaker,Work,Shared E-Rickshaw,2.0,10,10,6,0,50,1,0,0,1,0,1.0,0,0,No,0,0.3333333333333333,0.0
491,20. Sultanwind gate,1,1,0,0,266.82002181110374,0.0,Female,1,30,Homemaker,Work,Shared E-Rickshaw,2.0,10,10,6,0,50,1,0,0,1,0,1.0,0,0,No,0,0.3333333333333333,0.0
492,Majitha_Road,0,0,0,0,129.9,0.0,Female,1,50,Homemaker,Work,Shared E-Rickshaw,2.0,10,10,3,5,100,1,0,0,1,0,1.0,0,0,No,0,0.3333333333333333,0.0
492,Majitha_Road,1,1,0,0,136.3794848220121,0.0,Female,1,50,Homemaker,Work,Shared E-Rickshaw,2.0,10,10,3,5,100,1,0,0,1,0,1.0,0,0,No,0,0.3333333333333333,0.0
493,31. Queens Road,0,0,1,0,259.8,0.0,Female,1,60,Homemaker,Health,Shared E-Rickshaw,2.0,10,20,3,5,0,3,0,2,3,0,1.0,0,1,No,0,0.6666666666666666,0.0
493,31. Queens Road,1,1,1,1,64.95,5.0,Female,1,60,Homemaker,Health,Shared E-Rickshaw,2.0,10,20,3,5,0,3,0,2,3,0,1.0,0,1,No,0,0.6666666666666666,0.6666666666666666
494,20. Sultanwind gate,0,0,0,0,259.8,0.0,Female,1,60,Homemaker,Religious,Shared E-Rickshaw,2.0,15,20,3,5,100,2,0,1,2,0,1.0,0,1,No,0,0.6666666666666666,0.0
494,20. Sultanwind gate,1,1,0,0,262.96214151824046,0.0,Female,1,60,Homemaker,Religious,Shared E-Rickshaw,2.0,15,20,3,5,100,2,0,1,2,0,1.0,0,1,No,0,0.6666666666666666,0.0
495,17. Ratan Singh Chowk,0,0,1,0,519.6,0.0,Male,0,69,Self-employed,Work,Shared E-Rickshaw,2.0,10,20,6,0,0,0,0,0,0,17914,0.5496761102005776,1,1,Yes,1,0.8498920367335258,0.0
495,17. Ratan Singh Chowk,1,1,1,1,129.9,5.0,Male,0,69,Self-employed,Work,Shared E-Rickshaw,2.0,10,20,6,0,0,0,0,0,0,17914,0.5496761102005776,1,1,Yes,1,0.8498920367335258,0.8498920367335258
496,19. Sultanwind,0,0,1,0,259.8,0.0,Male,0,70,Unemployed,Recreational,Shared E-Rickshaw,2.0,15,10,6,0,0,1,0,1,1,0,1.0,0,1,No,0,0.6666666666666666,0.0
496,19. Sultanwind,1,1,1,1,129.9,5.0,Male,0,70,Unemployed,Recreational,Shared E-Rickshaw,2.0,15,10,6,0,0,1,0,1,1,0,1.0,0,1,No,0,0.6666666666666666,0.6666666666666666
497,31. Queens Road,0,0,0,0,433.0,0.0,Male,0,45,Private salaried job,Work,Shared E-Rickshaw,2.5,10,20,5,5,100,2,1,1,3,22000,0.3902286740029658,0,0,No,1,0.1300762246676552,0.0
497,31. Queens Road,1,1,0,0,437.3141819517989,0.0,Male,0,45,Private salaried job,Work,Shared E-Rickshaw,2.5,10,20,5,5,100,2,1,1,3,22000,0.3902286740029658,0,0,No,1,0.1300762246676552,0.0
498,1. 100 ft road Chowk,0,0,0,0,259.8,0.0,Male,0,45,Labourer,Work,Shared E-Rickshaw,2.5,5,10,6,0,0,0,0,1,0,13650,0.7160696167954421,1,0,No,1,0.5720232055984807,0.0
498,1. 100 ft road Chowk,1,1,0,0,266.0601248094106,0.0,Male,0,45,Labourer,Work,Shared E-Rickshaw,2.5,5,10,6,0,0,0,0,1,0,13650,0.7160696167954421,1,0,No,1,0.5720232055984807,0.0
499,19. Sultanwind,0,0,0,0,519.6,0.0,Male,0,17,Student,Education,Shared E-Rickshaw,3.0,5,20,6,0,0,0,0,1,0,0,1.0,1,0,Yes,0,0.6666666666666666,0.0
499,19. Sultanwind,1,1,0,0,523.2065733445025,0.0,Male,0,17,Student,Education,Shared E-Rickshaw,3.0,5,20,6,0,0,0,0,1,0,0,1.0,1,0,Yes,0,0.6666666666666666,0.0
500,32. Railway Station,0,0,0,0,433.0,0.0,Female,1,18,Student,Education,Shared E-Rickshaw,3.0,20,20,5,5,100,2,0,1,2,0,1.0,0,0,No,0,0.3333333333333333,0.0
500,32. Railway Station,1,1,0,0,438.1273924460676,0.0,Female,1,18,Student,Education,Shared E-Rickshaw,3.0,20,20,5,5,100,2,0,1,2,0,1.0,0,0,No,0,0.3333333333333333,0.0
501,34. Valmiki Chowk,0,0,0,0,519.6,0.0,Female,1,21,Student,Education,Shared E-Rickshaw,3.0,20,20,6,10,100,0,0,0,0,0,1.0,1,0,Yes,0,0.6666666666666666,0.0
501,34. Valmiki Chowk,1,1,0,0,526.9670568848222,0.0,Female,1,21,Student,Education,Shared E-Rickshaw,3.0,20,20,6,10,100,0,0,0,0,0,1.0,1,0,Yes,0,0.6666666666666666,0.0
